experiment,model,time_ms,a_audio,b_visual,R2
Exp1,self,373.05,0.60990,0.21957,0.27186
Exp1,self,375.00,0.61405,0.19243,0.24621
Exp1,self,376.95,0.60751,0.16656,0.21436
Exp1,self,378.91,0.59469,0.14541,0.18047
Exp1,self,380.86,0.57944,0.13188,0.14978
Exp1,self,382.81,0.56437,0.12740,0.12743
Exp1,self,384.77,0.55066,0.13232,0.11714
Exp1,self,386.72,0.53847,0.14604,0.12128
Exp1,self,388.67,0.52743,0.16672,0.14129
Exp1,self,390.62,0.51683,0.19126,0.17691
Exp1,self,392.58,0.50671,0.21582,0.22502
Exp1,self,394.53,0.49905,0.23649,0.27988
Exp1,self,396.48,0.49680,0.25013,0.33413
Exp1,self,398.44,0.50140,0.25598,0.38042
Exp1,self,400.39,0.51187,0.25666,0.41422
Exp1,self,402.34,0.52585,0.25676,0.43593
Exp1,self,404.30,0.54148,0.25944,0.44930
Exp1,self,406.25,0.55800,0.26453,0.45803
Exp1,self,408.20,0.57510,0.27003,0.46439
Exp1,self,410.16,0.59242,0.27374,0.46981
Exp1,self,412.11,0.60936,0.27256,0.47488
Exp1,self,414.06,0.62378,0.26369,0.47851
Exp1,self,416.02,0.63130,0.24864,0.47840
Exp1,self,417.97,0.62745,0.23346,0.47177
Exp1,self,419.92,0.61042,0.22348,0.45516
Exp1,self,421.88,0.58175,0.21944,0.42616
Exp1,self,423.83,0.54523,0.21851,0.38622
Exp1,self,425.78,0.50530,0.21714,0.34009
Exp1,self,427.73,0.46558,0.21283,0.29247
Exp1,self,429.69,0.42745,0.20526,0.24601
Exp1,self,431.64,0.38995,0.19630,0.20208
Exp1,self,433.59,0.35198,0.18753,0.16210
Exp1,self,435.55,0.31468,0.17873,0.12853
Exp1,self,437.50,0.28073,0.17041,0.10454
Exp1,self,439.45,0.25205,0.16677,0.09265
Exp1,self,441.41,0.23054,0.17403,0.09433
Exp1,self,443.36,0.21989,0.19623,0.11081
Exp1,self,445.31,0.22379,0.23062,0.14256
Exp1,self,447.27,0.24377,0.26387,0.18673
Exp1,self,449.22,0.27907,0.27982,0.23601
Exp1,self,451.17,0.32461,0.27580,0.28285
Exp1,self,453.12,0.37075,0.26225,0.32272
Exp1,self,455.08,0.40719,0.25147,0.35308
Exp1,self,457.03,0.42666,0.25116,0.37243
Exp1,self,458.98,0.42712,0.25931,0.37954
Exp1,self,460.94,0.41094,0.26506,0.37187
Exp1,self,462.89,0.38136,0.26324,0.34697
Exp1,self,464.84,0.34218,0.25865,0.30699
